Title,Year,Genre,Rating
Crime Puzzle,"('2021', '2021')","['Drama', ' Mystery', ' Romance']",-
Goong,"('2006', '2006')","['Comedy', ' Romance']",7.6
Mischievous Kiss,"('2010', '2010')","['Comedy', ' Romance']",7.1
Byeonhyeokui Sarang,"('2017', '2017')","['Comedy', ' Romance']",7.0
Warrior Baek Dong Soo,"('2011', '2011')",['Action'],8.0
Jumong,"('2006', '2007')","['Biography', ' Drama', ' History']",8.0
The Emperor: Owner of the Mask,"('2017', '2017')","['Drama', ' History', ' Romance']",7.4
Haechi,"('2019', '2019')","['Action', ' Drama', ' History']",7.8
My Golden Life,"('2017', '2017')","['Drama', ' Romance']",6.4
Hyena,"('2020', '2020')","['Drama', ' Romance']",7.8
SF8,"('2020', '2020')","['Action', ' Comedy', ' Drama']",6.9
Oh My Ladylord,"('2021', '2021')","['Comedy', ' Romance']",6.0
About Time,"('2018', '2018')",['Fantasy'],7.0
Knowing Bros,"('2015', '2015')","['Comedy', ' Game-Show', ' Reality-TV']",8.3
LoliRock,"('2014', '2014')","['Animation', ' Action', ' Adventure']",7.3
Father Is Strange,"('2017', '2017')","['Comedy', ' Drama', ' Romance']",8.2
The Hungry and the Hairy,"('2021', '2021')",['Reality-TV'],-
Sheriff Callie's Wild West,"('2013', '2017')","['Animation', ' Action', ' Adventure']",6.4
High Society,"('2015', '2015')","['Drama', ' Romance']",6.8
The King Loves,"('2017', '2017')","['Drama', ' Romance']",7.3
Don't Dare to Dream,"('2016', '2016')","['Comedy', ' Romance']",7.8
"Father, I'll Take Care of You","('2016', '2017')",['Drama'],7.8
More Than Friends,"('2020', '2020')","['Drama', ' Romance']",6.6
The Scholar Who Walks the Night,"('2015', '2015')","['Action', ' Fantasy', ' History']",7.3
Entourage,"('2016', '2016')","['Comedy', ' Drama']",5.7
Temperature of Love,"('2017', '2017')","['Comedy', ' Romance']",7.2
